,artist
1223,Vilões do Forró e Karkará
1224,Código B
1225,Julico
1226,Shaka Lion
1227,Cyro Sampaio
1228,Marku
1229,Jeremaia
1230,Emily Saunders
1231,Altar feat. Amannda
1232,Pink Roof
1233,Lumanzin
1234,Hip & Hop
1235,chico de barro
1236,Amaranto
1237,Zarg
1238,Hellen Caroline
1239,Piettro
1240,隼人加織
1241,Eduardo Lages
1242,Allumina
1243,Os Condenados
1244,Teca Calazans
1245,Rosie Mankato
1246,Deathbythecolt
1247,Banda Ovelha Negra
1248,Filipe Duarte
1249,Viegas
1250,Luto
1251,Dois Barcos
1252,Orquestra Afro-Brasileira
1253,Klett
1254,Ultraleve
1255,Ifá Afrobeat
1256,Marcia Salomon
1257,TONNY BRASIL
1258,Aster Sete
1259,Cor Da Pele
1260,DJ Mário Pires
1261,Meirelles
1262,Carlos Andre
1263,Mc Pelé
1264,DJ Maluco
1265,MANDELÃO CLASSE A
1266,Dj Farrapo & Yanez
1267,"Ednardo, Amelinha & Belchior"
1268,Felipe Ferraz
1269,Los Perros
1270,Wantuir Oliveira
1271,Polentinha do Arrocha
1272,Dyego
1273,Fábio Goes
1274,Marcos Castro
1275,Igor Sorriso
1276,Tivoli
1277,Denis Soares
1278,"Tejo, Black Alien & Speed"
1279,Brasileiro
1280,Jaques Morelenbaum & Antonio Pinto
1281,Grupo Querência
1282,Der Baum
1283,Carlos Alberto
